#1 = Amery, 2 = Amundsen, 3 = Dronning, 4 = Peninsula, 5 = Ronne, 6 = Ross, 7 = Victoria, 8 = Wilkes
#lat,long,region
-80,-76.25,5
-80,-75.625,5
-80,-75,5
-80,-74.375,5
-80,-73.75,5
-80,-73.125,5
-80,-72.5,5
-80,-71.875,5
-80,-70.625,5
-80,-69.375,5
-80,-67.5,5
-80,-65.625,5
-80,-63.125,5
-80,-56.875,5
-80,-55,5
-80,-53.75,5
-80,-52.5,5
-80,-42.5,5
-80,-41.875,5
-80,-40.625,5
-80,-39.375,5
-80,-38.125,5
-80,-35.625,5
-80,-34.375,5
-80,-33.75,5
-80,-33.125,5
-80,-32.5,5
-80,-31.875,5
-80,-31.25,5
-80,161.88,6
-80,162.5,6
-80,163.12,6
-80,163.75,6
-80,164.38,6
-80,165,6
-80,166.25,6
-80,167.5,6
-80,168.75,6
-80,170,6
-80,171.25,6
-80,172.5,6
-80,173.75,6
-80,175,6
-80,176.88,6
-80,178.75,6
-79.5,-180,6
-79.5,-178.12,6
-79.5,-176.25,6
-79.5,-174.38,6
-79.5,-172.5,6
-79.5,-170.62,6
-79.5,-168.75,6
-79.5,-166.88,6
-79.5,-165.62,6
-79.5,-164.38,6
-79.5,-158.12,6
-79.5,-156.88,6
-79.5,-155.62,6
-79.5,-154.38,6
-79.5,-153.12,6
-79.5,-152.5,6
-79.5,-151.88,6
-79.5,-151.25,6
-79.5,-75.625,5
-79.5,-75,5
-79.5,-74.375,5
-79.5,-73.75,5
-79.5,-72.5,5
-79.5,-69.375,5
-79.5,-66.25,5
-79.5,-65,5
-79.5,-63.125,5
-79.5,-61.25,5
-79.5,-59.375,5
-79.5,-56.875,5
-79.5,-55,5
-79.5,-53.75,5
-79.5,-52.5,5
-79.5,-51.875,5
-79.5,-51.25,5
-79.5,-50.625,5
-79.5,-42.5,5
-79.5,-41.875,5
-79.5,-41.25,5
-79.5,-40.625,5
-79.5,-40,5
-79.5,-38.75,5
-79.5,-36.875,5
-79.5,-35.625,5
-79.5,-34.375,5
-79.5,-33.125,5
-79.5,-32.5,5
-79.5,-31.875,5
-79.5,-31.25,5
-79.5,161.88,6
-79.5,162.5,6
-79.5,163.12,6
-79.5,163.75,6
-79.5,164.38,6
-79.5,165,6
-79.5,165.62,6
-79.5,166.88,6
-79.5,168.12,6
-79.5,169.38,6
-79.5,170.62,6
-79.5,171.88,6
-79.5,173.12,6
-79.5,174.38,6
-79.5,175.62,6
-79.5,176.88,6
-79.5,178.75,6
-79,-180,6
-79,-178.75,6
-79,-177.5,6
-79,-175.62,6
-79,-173.75,6
-79,-172.5,6
-79,-171.25,6
-79,-170,6
-79,-168.75,6
-79,-167.5,6
-79,-166.25,6
-79,-165,6
-79,-160,6
-79,-158.75,6
-79,-156.25,6
-79,-81.25,5
-79,-80,5
-79,-78.75,5
-79,-78.125,5
-79,-76.875,5
-79,-75.625,5
-79,-74.375,5
-79,-73.125,5
-79,-71.875,5
-79,-67.5,5
-79,-66.25,5
-79,-65,5
-79,-63.125,5
-79,-61.25,5
-79,-59.375,5
-79,-57.5,5
-79,-55,5
-79,-53.75,5
-79,-52.5,5
-79,-51.875,5
-79,-51.25,5
-79,-50.625,5
-79,-43.125,5
-79,-42.5,5
-79,-41.25,5
-79,-40.625,5
-79,-39.375,5
-79,-38.125,5
-79,-36.875,5
-79,-35.625,5
-79,163.75,6
-79,165,6
-79,165.62,6
-79,166.88,6
-79,168.12,6
-79,169.38,6
-79,170,6
-79,170.62,6
-79,171.25,6
-79,172.5,6
-79,173.75,6
-79,175,6
-79,176.25,6
-79,177.5,6
-79,178.75,6
-78.5,-180,6
-78.5,-179.38,6
-78.5,-178.75,6
-78.5,-162.5,6
-78.5,-161.88,6
-78.5,-160.62,6
-78.5,-158.12,6
-78.5,-156.88,6
-78.5,-156.25,6
-78.5,-155.62,6
-78.5,-76.875,5
-78.5,-75.625,5
-78.5,-74.375,5
-78.5,-73.125,5
-78.5,-71.875,5
-78.5,-70,5
-78.5,-68.125,5
-78.5,-66.875,5
-78.5,-65.625,5
-78.5,-64.375,5
-78.5,-62.5,5
-78.5,-60.625,5
-78.5,-58.75,5
-78.5,-56.875,5
-78.5,-55,5
