#Amery = 115, West = 102, Publications = 104, Venable = 53, Abbot = 110, Cosgrove = 54, PIG = 55, Thwaites = 56, crosson = 57, Dotson = 58, Getz = 60, Nickerson = 64, Sulzberger = 65,Brunt = 36, Riiser-Larsen = 37, Quar = 38, Ekstrom = 39, Atka = 124, Jelbaert = 125, Fimbil = 121, Vigrid = 123, Nivlisen = 122, Lazarez = 120, Borchgrevink = 119, Baudouin = 118, Prince Herald = 158, scar inlet = 51, Larsen C = 8, Larsen D = 6, Larsen E = 7, N GVIIS = 45, S GVIIS = 44, Bach = 46, Stange = 52, Wilkins = 50, Ronne = 34, Filchner = 35, Ross West = 70, Ross East = 71, Mertz = 91,  Ninnis = 162, Cook = 90, Rennick = 86, Mariner = 83, Drygalski = 73, Nansen = 74, Dibble = 114, Shackleton = 100, Tracy Tremenchus = 24, Conger Glenzer = 99, Vincennes Bay = 159, Totten = 98, Moscow uni = 157, Holmes = 156
#lat,long,region
-80.5,-34.375,35
-80.5,-33.75,35
-80.5,-33.125,35
-80.5,161.25,71
-80.5,161.88,71
-80.5,162.5,71
-80.5,163.12,71
-80.5,163.75,71
-80.5,164.38,71
-80.5,165,71
-80.5,166.25,71
-80.5,167.5,71
-80.5,168.75,71
-80.5,170,71
-80.5,171.25,71
-80.5,173.12,71
-80.5,174.38,71
-80.5,176.25,71
-80.5,178.12,70
-80,-178.75,70
-80,-176.88,70
-80,-175,70
-80,-173.12,70
-80,-171.25,70
-80,-169.38,70
-80,-167.5,70
-80,-165.62,70
-80,-164.38,70
-80,-163.12,70
-80,-161.25,70
-80,-159.38,70
-80,-157.5,70
-80,-155.62,70
-80,-153.12,70
-80,-151.88,70
-80,-150.62,70
-80,-150,70
-80,-148.75,70
-80,-76.875,34
-80,-76.25,34
-80,-75.625,34
-80,-75,34
-80,-74.375,34
-80,-73.75,34
-80,-73.125,34
-80,-72.5,34
-80,-71.875,34
-80,-70.625,34
-80,-69.375,34
-80,-67.5,34
-80,-65.625,34
-80,-63.125,34
-80,-56.875,34
-80,-55,34
-80,-53.75,34
-80,-52.5,34
-80,-42.5,35
-80,-41.875,35
-80,-40.625,35
-80,-39.375,35
-80,-38.125,35
-80,-35.625,35
-80,-34.375,35
-80,-33.75,35
-80,-33.125,35
-80,-32.5,35
-80,-31.875,35
-80,-31.25,35
-80,161.88,71
-80,162.5,71
-80,163.12,71
-80,163.75,71
-80,164.38,71
-80,165,71
-80,166.25,71
-80,167.5,71
-80,168.75,71
-80,170,71
-80,171.25,71
-80,172.5,71
-80,173.75,71
-80,175,71
-80,176.88,71
-80,178.75,70
-79.5,-180,70
-79.5,-178.12,70
-79.5,-176.25,70
-79.5,-174.38,70
-79.5,-172.5,70
-79.5,-170.62,70
-79.5,-168.75,70
-79.5,-166.88,70
-79.5,-165.62,70
-79.5,-164.38,70
-79.5,-158.12,70
-79.5,-156.88,70
-79.5,-155.62,70
-79.5,-154.38,70
-79.5,-153.12,70
-79.5,-152.5,70
-79.5,-151.88,70
-79.5,-151.25,70
-79.5,-75.625,34
-79.5,-75,34
-79.5,-74.375,34
-79.5,-73.75,34
-79.5,-72.5,34
-79.5,-69.375,34
-79.5,-66.25,34
-79.5,-65,34
-79.5,-63.125,34
-79.5,-61.25,34
-79.5,-59.375,34
-79.5,-56.875,34
-79.5,-55,34
-79.5,-53.75,34
-79.5,-52.5,34
-79.5,-51.875,34
-79.5,-51.25,34
-79.5,-50.625,34
-79.5,-42.5,35
-79.5,-41.875,35
-79.5,-41.25,35
-79.5,-40.625,35
-79.5,-40,35
